PrincipalDiagnosis,Sex,25th Percentile,50th Percentile,75th Percentile,Maximum,AverageCharge
E27.0,F,6691.546675533074,6691.546675533074,6691.546675533074,6691.546675533074,6691.546675533074
E27.0,M,6298.931787476151,6298.931787476151,6298.931787476151,6298.931787476151,6298.931787476151
E27.1,F,7637.414392427875,7637.414392427875,7637.414392427875,7637.414392427875,7637.414392427875
E27.1,M,5697.922341783691,5697.922341783691,5697.922341783691,5697.922341783691,5697.922341783691
E27.2,F,6079.55167403913,6079.55167403913,6079.55167403913,6079.55167403913,6079.55167403913
E27.4,M,10046.23361645962,10046.23361645962,10046.23361645962,10046.23361645962,10046.23361645962
E27.5,F,7566.8562342583355,7566.8562342583355,7566.8562342583355,7566.8562342583355,7566.8562342583355
E27.6,F,9810.946997869818,9810.946997869818,9810.946997869818,9810.946997869818,9810.946997869818
E27.8,F,6342.960945056473,6342.960945056473,6342.960945056473,6342.960945056473,6342.960945056473
E27.8,M,5541.876280850304,6308.830994239834,7075.785707629362,7842.740421018891,6308.830994239834
E27.9,F,7141.445203408573,7141.445203408573,7141.445203408573,7141.445203408573,7141.445203408573
E27.9,M,6939.748595017027,6939.748595017027,6939.748595017027,6939.748595017027,6939.748595017027
E28.1,F,10340.659585508305,10340.659585508305,10340.659585508305,10340.659585508305,10340.659585508305
E28.1,M,8290.990162313374,8290.990162313374,8290.990162313374,8290.990162313374,8290.990162313374
E28.2,F,6585.784773351352,6585.784773351352,6585.784773351352,6585.784773351352,6585.784773351352
E28.2,M,7837.582270628478,7837.582270628478,7837.582270628478,7837.582270628478,7837.582270628478
E28.3,M,7721.739234311777,7721.739234311777,7721.739234311777,7721.739234311777,7721.739234311777
E28.4,M,8564.974986025061,8564.974986025061,8564.974986025061,8564.974986025061,8564.974986025061
E28.6,F,6784.548879215532,6784.548879215532,6784.548879215532,6784.548879215532,6784.548879215532
E28.6,M,8879.04164305682,8879.04164305682,8879.04164305682,8879.04164305682,8879.04164305682
E28.7,F,7564.08119343603,7564.08119343603,7564.08119343603,7564.08119343603,7564.08119343603
E28.9,M,8434.923859211081,9206.43521929037,9977.946579369658,10749.457939448945,9206.43521929037
E29.0,F,6874.36852961091,6874.36852961091,6874.36852961091,6874.36852961091,6874.36852961091
E29.1,M,5450.951677045752,5450.951677045752,5450.951677045752,5450.951677045752,5450.951677045752
E29.2,M,7152.484333713966,7152.484333713966,7152.484333713966,7152.484333713966,7152.484333713966
E29.4,F,8993.167622242134,8993.167622242134,8993.167622242134,8993.167622242134,8993.167622242134
E29.5,M,7791.084761014371,7791.084761014371,7791.084761014371,7791.084761014371,7791.084761014371
E29.6,F,7024.088639102952,7024.088639102952,7024.088639102952,7024.088639102952,7024.088639102952
E29.7,F,7511.6180980446625,7701.539055193509,7891.460012342355,8081.3809694912015,7701.539055193509
E29.7,M,7561.938935983538,7564.983581868482,7568.028227753427,7571.072873638372,7564.983581868482
E29.9,M,7781.714702227866,7781.714702227866,7781.714702227866,7781.714702227866,7781.714702227866
E30.0,M,5641.074069461349,5641.074069461349,5641.074069461349,5641.074069461349,5641.074069461349
E30.1,F,5761.505284682464,5761.505284682464,5761.505284682464,5761.505284682464,5761.505284682464
E30.2,F,10194.844063385477,10194.844063385477,10194.844063385477,10194.844063385477,10194.844063385477
E30.3,M,6214.174124283791,6214.174124283791,6214.174124283791,6214.174124283791,6214.174124283791
E30.5,F,9656.681551003214,9656.681551003214,9656.681551003214,9656.681551003214,9656.681551003214
E30.5,M,9275.342982364762,9275.342982364762,9275.342982364762,9275.342982364762,9275.342982364762
E30.7,M,6948.881740532163,7057.803961397443,7166.726182262723,7275.648403128003,7057.803961397443
E30.8,M,8592.857785397804,8592.857785397804,8592.857785397804,8592.857785397804,8592.857785397804
E31.1,M,7161.569991407676,7161.569991407676,7161.569991407676,7161.569991407676,7161.569991407676
E31.2,M,8224.101003533797,8224.101003533797,8224.101003533797,8224.101003533797,8224.101003533797
E31.3,F,7105.289126320239,7105.289126320239,7105.289126320239,7105.289126320239,7105.289126320239
E31.3,M,7466.764473381808,7850.11880023821,8233.47312709461,8616.827453951013,7850.11880023821
E31.4,F,5206.318358379036,5206.318358379036,5206.318358379036,5206.318358379036,5206.318358379036
E31.4,M,6517.013384344949,6517.013384344949,6517.013384344949,6517.013384344949,6517.013384344949
E31.5,M,6366.813775200881,6366.813775200881,6366.813775200881,6366.813775200881,6366.813775200881
E31.6,F,5274.113914378305,5274.113914378305,5274.113914378305,5274.113914378305,5274.113914378305
E31.6,M,6459.5377851642925,6459.5377851642925,6459.5377851642925,6459.5377851642925,6459.5377851642925
E31.7,F,7402.386866595049,7402.386866595049,7402.386866595049,7402.386866595049,7402.386866595049
E31.8,M,6052.224428743365,6052.224428743365,6052.224428743365,6052.224428743365,6052.224428743365
E31.9,F,6872.373429036137,6872.373429036137,6872.373429036137,6872.373429036137,6872.373429036137
E31.9,M,7593.916622743317,7593.916622743317,7593.916622743317,7593.916622743317,7593.916622743317
E32.0,M,8017.159328330785,8017.159328330785,8017.159328330785,8017.159328330785,8017.159328330785
E32.1,F,7315.025604883108,7601.104880474424,7887.184156065741,8173.263431657058,7601.104880474424
E32.2,M,6746.891694181822,6746.891694181822,6746.891694181822,6746.891694181822,6746.891694181822
E32.3,F,6219.668103381701,6634.915503192202,7050.162903002702,7465.410302813201,6634.915503192202
E32.4,F,7231.322541278336,7231.322541278336,7231.322541278336,7231.322541278336,7231.322541278336
E32.4,M,6936.87753402381,7251.82741076907,7566.777287514331,7881.727164259591,7251.82741076907
E32.7,F,6780.394889740879,7331.64488262022,7882.894875499562,8434.144868378904,7331.64488262022
E32.7,M,7773.211859559423,7773.211859559423,7773.211859559423,7773.211859559423,7773.211859559423
E32.8,F,9410.62495627721,9410.62495627721,9410.62495627721,9410.62495627721,9410.62495627721
E32.8,M,8195.493348657372,8787.989020844572,9380.484693031773,9972.980365218973,8787.989020844572
E32.9,F,8319.930715162782,8319.930715162782,8319.930715162782,8319.930715162782,8319.930715162782
E32.9,M,7532.865098754293,7532.865098754293,7532.865098754293,7532.865098754293,7532.865098754293
E33.0,M,9387.365762274821,9387.365762274821,9387.365762274821,9387.365762274821,9387.365762274821
E33.1,F,10096.953074590485,10096.953074590485,10096.953074590485,10096.953074590485,10096.953074590485
E33.2,F,5607.383974573748,5607.383974573748,5607.383974573748,5607.383974573748,5607.383974573748
E33.2,M,7822.501122044476,7822.501122044476,7822.501122044476,7822.501122044476,7822.501122044476
E33.4,F,6668.789767369248,6668.789767369248,6668.789767369248,6668.789767369248,6668.789767369248
E33.4,M,7261.551750466448,7261.551750466448,7261.551750466448,7261.551750466448,7261.551750466448
E33.5,F,5521.71289464896,5521.71289464896,5521.71289464896,5521.71289464896,5521.71289464896
E33.5,M,7203.640948542807,7203.640948542807,7203.640948542807,7203.640948542807,7203.640948542807
E33.6,M,4996.332344299662,4996.332344299662,4996.332344299662,4996.332344299662,4996.332344299662
E33.7,M,6885.676434975823,7008.272056114156,7130.867677252489,7253.463298390821,7008.272056114156
E33.9,M,8180.846286174129,8180.846286174129,8180.846286174129,8180.846286174129,8180.846286174129
E34.0,F,8331.566893579164,8331.566893579164,8331.566893579164,8331.566893579164,8331.566893579164
E34.2,F,10882.907069295245,10882.907069295245,10882.907069295245,10882.907069295245,10882.907069295245
E34.2,M,8977.95622043378,8977.95622043378,8977.95622043378,8977.95622043378,8977.95622043378
E34.3,F,7266.607652682071,7958.539278203393,8650.470903724716,9342.40252924604,7958.539278203393
E34.4,M,6931.154026600754,6931.154026600754,6931.154026600754,6931.154026600754,6931.154026600754
E34.6,F,5895.170869687764,5903.805563754126,5912.440257820487,5921.074951886849,5903.805563754126
E34.6,M,6431.894713411597,6593.612524824505,6755.330336237414,6917.048147650321,6593.612524824505
E34.7,F,8125.917099834265,8266.837771365794,8407.758442897324,8548.679114428853,8266.837771365794
E34.9,F,6262.616016617996,6381.101403015744,6499.586789413493,6618.072175811241,6381.101403015744
E35.1,F,6820.980354992046,7057.62533897717,7294.270322962294,7530.915306947418,7057.62533897717
E35.3,M,6301.034169147227,6686.2643010593565,7071.494432971485,7456.724564883615,6686.2643010593565
E35.4,M,5796.948500767115,6216.418737288543,6635.88897380997,7055.359210331397,6216.418737288543
E35.5,M,6480.261835292159,6480.261835292159,6480.261835292159,6480.261835292159,6480.261835292159
E35.6,F,7716.448983333429,7716.448983333429,7716.448983333429,7716.448983333429,7716.448983333429
E35.6,M,5909.1869819430785,5909.1869819430785,5909.1869819430785,5909.1869819430785,5909.1869819430785
E35.8,F,7338.844040349564,7697.530193578771,8056.216346807978,8414.902500037186,7697.530193578771
E35.8,M,5387.015578824348,5387.015578824348,5387.015578824348,5387.015578824348,5387.015578824348
E36.0,M,9381.09616996794,9381.09616996794,9381.09616996794,9381.09616996794,9381.09616996794
E36.1,F,8187.797230653151,8187.797230653151,8187.797230653151,8187.797230653151,8187.797230653151
E36.1,M,4687.454752027031,4687.454752027031,4687.454752027031,4687.454752027031,4687.454752027031
E36.3,F,7391.165343498121,7391.165343498121,7391.165343498121,7391.165343498121,7391.165343498121
E36.4,F,7809.852177164124,7809.852177164124,7809.852177164124,7809.852177164124,7809.852177164124
E36.4,M,9129.784555508286,9129.784555508286,9129.784555508286,9129.784555508286,9129.784555508286
E36.5,F,6520.334427958816,6520.334427958816,6520.334427958816,6520.334427958816,6520.334427958816
E36.5,M,6668.81825953997,6668.81825953997,6668.81825953997,6668.81825953997,6668.81825953997
E36.6,F,8038.768523131839,8051.0720717762115,8063.375620420584,8075.679169064955,8051.0720717762115
E36.7,M,6113.020815597261,6113.020815597261,6113.020815597261,6113.020815597261,6113.020815597261
E36.9,M,9234.679075662636,9234.679075662636,9234.679075662636,9234.679075662636,9234.679075662636
E37.0,F,8861.872513061851,8861.872513061851,8861.872513061851,8861.872513061851,8861.872513061851
E37.1,M,6299.324651459175,6299.324651459175,6299.324651459175,6299.324651459175,6299.324651459175
E37.2,F,6846.572172416723,6846.572172416723,6846.572172416723,6846.572172416723,6846.572172416723
E37.2,M,5970.023576228667,6328.997771180155,6687.971966131643,7046.946161083131,6328.997771180155
E37.3,F,9456.545906181691,9456.545906181691,9456.545906181691,9456.545906181691,9456.545906181691
E37.3,M,8718.219115779415,9293.572773050033,9868.92643032065,10444.280087591267,9293.572773050033
E37.5,F,4650.546844212509,4650.546844212509,4650.546844212509,4650.546844212509,4650.546844212509
E37.5,M,7113.6872038564625,7113.6872038564625,7113.6872038564625,7113.6872038564625,7113.6872038564625
E37.6,F,9843.634577629535,9843.634577629535,9843.634577629535,9843.634577629535,9843.634577629535
E37.6,M,7294.762998867589,7294.762998867589,7294.762998867589,7294.762998867589,7294.762998867589
E37.8,M,8107.192585459008,8107.192585459008,8107.192585459008,8107.192585459008,8107.192585459008
E37.9,F,7128.248517226781,7128.248517226781,7128.248517226781,7128.248517226781,7128.248517226781
E38.1,M,5791.261244632015,5791.261244632015,5791.261244632015,5791.261244632015,5791.261244632015
E38.2,F,6851.515467297903,6851.515467297903,6851.515467297903,6851.515467297903,6851.515467297903
E38.2,M,9404.258918010064,9404.258918010064,9404.258918010064,9404.258918010064,9404.258918010064
E38.6,M,5111.414043698978,5111.414043698978,5111.414043698978,5111.414043698978,5111.414043698978
E38.7,F,4398.113984584374,4398.113984584374,4398.113984584374,4398.113984584374,4398.113984584374
E38.7,M,7657.154307478193,7657.154307478193,7657.154307478193,7657.154307478193,7657.154307478193
E38.8,F,7039.269806145803,7406.157862628892,7773.045919111982,8139.933975595071,7406.157862628892
E38.9,F,7057.529253035696,7057.529253035696,7057.529253035696,7057.529253035696,7057.529253035696
E38.9,M,8923.939986720065,8923.939986720065,8923.939986720065,8923.939986720065,8923.939986720065
E39.1,M,7593.644049985973,7593.644049985973,7593.644049985973,7593.644049985973,7593.644049985973
E39.2,M,8019.560523910759,8083.500220129404,8147.439916348048,8211.379612566692,8083.500220129404
E39.4,M,6531.726911819838,6531.726911819838,6531.726911819838,6531.726911819838,6531.726911819838
E39.5,M,8329.220167269585,8329.220167269585,8329.220167269585,8329.220167269585,8329.220167269585
E39.6,F,9177.025692661837,9177.025692661837,9177.025692661837,9177.025692661837,9177.025692661837
E39.6,M,6276.580015935597,6276.580015935597,6276.580015935597,6276.580015935597,6276.580015935597
E39.8,F,6708.792802207997,6708.792802207997,6708.792802207997,6708.792802207997,6708.792802207997
E40.0,F,6194.9485631509015,6395.776345898298,6596.604128645695,6797.431911393091,6395.776345898298
E40.3,M,6902.2171036108775,6902.2171036108775,6902.2171036108775,6902.2171036108775,6902.2171036108775
E40.6,M,6765.681379756744,6765.681379756744,6765.681379756744,6765.681379756744,6765.681379756744
E40.8,M,7463.870869516362,7463.870869516362,7463.870869516362,7463.870869516362,7463.870869516362
E40.9,M,7006.813220513686,7022.626705068875,7038.440189624063,7054.253674179252,7022.626705068875
E41.1,M,6246.592433589602,6542.880762745879,6839.169091902157,7135.457421058434,6542.880762745879
E41.2,F,5851.403358608424,5851.403358608424,5851.403358608424,5851.403358608424,5851.403358608424
E41.2,M,8394.430104073457,8394.430104073457,8394.430104073457,8394.430104073457,8394.430104073457
E41.4,M,8497.872007716584,8971.337913825586,9444.803819934588,9918.26972604359,8971.337913825586
E41.5,F,6994.65161636469,6994.65161636469,6994.65161636469,6994.65161636469,6994.65161636469
E41.6,F,8983.505094875143,8983.505094875143,8983.505094875143,8983.505094875143,8983.505094875143
E41.6,M,6517.852267966955,6517.852267966955,6517.852267966955,6517.852267966955,6517.852267966955
E41.9,F,6445.226078418578,6445.226078418578,6445.226078418578,6445.226078418578,6445.226078418578
E41.9,M,7891.019508093905,7891.019508093905,7891.019508093905,7891.019508093905,7891.019508093905
E42.1,F,6525.707965138037,6948.3295986853955,7520.80763943989,8093.285680194386,7048.23387015682
E42.1,M,6195.780250687597,6195.780250687597,6195.780250687597,6195.780250687597,6195.780250687597
E42.3,F,10575.920818827944,10575.920818827944,10575.920818827944,10575.920818827944,10575.920818827944
E42.3,M,5479.710833867863,5479.710833867863,5479.710833867863,5479.710833867863,5479.710833867863
E42.4,M,8506.070543466294,8506.070543466294,8506.070543466294,8506.070543466294,8506.070543466294
E42.5,F,7313.595637300319,7313.595637300319,7313.595637300319,7313.595637300319,7313.595637300319
E42.8,F,7118.214222594246,7118.214222594246,7118.214222594246,7118.214222594246,7118.214222594246
E42.9,M,7007.53017799551,7007.53017799551,7007.53017799551,7007.53017799551,7007.53017799551
E43.0,M,8310.546407226093,8877.200245430427,9443.85408363476,10010.507921839095,8877.200245430427
E43.2,F,6589.099335789562,6589.099335789562,6589.099335789562,6589.099335789562,6589.099335789562
E43.3,F,6168.876256990583,6168.876256990583,6168.876256990583,6168.876256990583,6168.876256990583
E43.4,M,9853.024877734872,9853.024877734872,9853.024877734872,9853.024877734872,9853.024877734872
E43.5,M,4577.421676932792,4577.421676932792,4577.421676932792,4577.421676932792,4577.421676932792
E43.6,M,5280.157791184085,6128.5271321418495,6890.427467044007,7652.327801946165,6070.881128104778
E43.7,F,10856.152049812139,10856.152049812139,10856.152049812139,10856.152049812139,10856.152049812139
E44.0,F,7476.393754087134,7476.393754087134,7476.393754087134,7476.393754087134,7476.393754087134
E44.3,F,8445.822659656542,8445.822659656542,8445.822659656542,8445.822659656542,8445.822659656542
E44.4,F,7790.879531296441,7790.879531296441,7790.879531296441,7790.879531296441,7790.879531296441
E44.8,F,7572.021865087325,7572.021865087325,7572.021865087325,7572.021865087325,7572.021865087325
E45.0,F,5804.554810734503,6728.088726262016,7651.622641789529,8575.156557317041,6728.088726262016
E45.0,M,6717.013791429143,7019.128632803009,7321.243474176876,7623.358315550742,7019.128632803009
E45.1,F,5997.881883288468,5997.881883288468,5997.881883288468,5997.881883288468,5997.881883288468
E45.1,M,7525.393810208849,8000.1847364039,8474.97566259895,8949.766588794002,8000.1847364039
E45.2,F,6564.342152819655,6564.342152819655,6564.342152819655,6564.342152819655,6564.342152819655
E45.3,F,6125.852181453053,6125.852181453053,6125.852181453053,6125.852181453053,6125.852181453053
E45.4,M,9639.187547354226,9639.187547354226,9639.187547354226,9639.187547354226,9639.187547354226
E45.5,M,7044.898800287716,7785.164526247718,8525.43025220772,9265.695978167721,7785.164526247718
E45.8,F,6763.9326343071425,6941.87296606838,7657.425304887508,8372.977643706636,7300.280970773641
E46.0,F,6183.057904995072,6183.057904995072,6183.057904995072,6183.057904995072,6183.057904995072
E46.0,M,7647.731422373749,8379.740897831323,9111.750373288898,9843.759848746473,8379.740897831323
E46.1,M,7293.666225301846,7907.6900269466205,8987.867316458221,10488.115265482402,8373.843514813447
E46.2,M,7152.542260018805,7634.992541692176,8117.442823365546,8599.893105038916,7634.992541692176
E46.3,F,9000.673305990284,9000.673305990284,9000.673305990284,9000.673305990284,9000.673305990284
E46.4,F,7293.998713033407,7635.675831432861,7977.352949832315,8319.030068231768,7635.675831432861
E46.4,M,9487.49952505097,9487.49952505097,9487.49952505097,9487.49952505097,9487.49952505097
E46.5,F,6021.528072566694,6021.528072566694,6021.528072566694,6021.528072566694,6021.528072566694
E46.5,M,6876.143252642854,6876.143252642854,6876.143252642854,6876.143252642854,6876.143252642854
E46.7,M,7730.9123100887555,7730.9123100887555,7730.9123100887555,7730.9123100887555,7730.9123100887555
E46.8,M,7535.9742581897735,8297.1055757149,9058.236893240028,9819.368210765153,8297.1055757149
E47.0,M,7008.192829230551,7008.192829230551,7008.192829230551,7008.192829230551,7008.192829230551
E47.1,F,7028.948733723379,7028.948733723379,7028.948733723379,7028.948733723379,7028.948733723379
E47.2,F,7268.723650661969,7268.723650661969,7268.723650661969,7268.723650661969,7268.723650661969
E47.2,M,5477.771165934245,6053.12641382099,6628.481661707735,7203.83690959448,6053.12641382099
E47.3,F,7779.3153057988575,8153.971083286591,8895.505795804384,9637.040508322174,8398.557039973297
E47.5,M,6453.749157203326,6743.659958483433,7033.570759763539,7323.481561043646,6743.659958483433
E47.6,M,7726.84505746735,7726.84505746735,7726.84505746735,7726.84505746735,7726.84505746735
E47.7,F,7417.337579997238,7926.841375847781,8436.345171698324,8945.848967548865,7926.841375847781
E47.8,F,6431.201364190258,6688.143339366527,6945.085314542796,7202.027289719065,6688.143339366527
E47.9,M,6147.336393378887,6147.336393378887,6147.336393378887,6147.336393378887,6147.336393378887
E48.1,M,6542.735226356513,6542.735226356513,6542.735226356513,6542.735226356513,6542.735226356513
E48.2,M,9112.700368983882,9112.700368983882,9112.700368983882,9112.700368983882,9112.700368983882
E48.3,M,6650.540710068315,6650.540710068315,6650.540710068315,6650.540710068315,6650.540710068315
E48.5,M,9795.913391413926,9795.913391413926,9795.913391413926,9795.913391413926,9795.913391413926
E48.8,F,8611.170568397494,8710.045217351855,8808.919866306216,8907.794515260579,8710.045217351855
E48.8,M,8575.76166401829,8575.76166401829,8575.76166401829,8575.76166401829,8575.76166401829
E48.9,F,6326.885809919758,6326.885809919758,6326.885809919758,6326.885809919758,6326.885809919758
E49.2,F,6487.994041356975,6487.994041356975,6487.994041356975,6487.994041356975,6487.994041356975
E49.3,F,4279.259976002496,4279.259976002496,4279.259976002496,4279.259976002496,4279.259976002496
E49.4,F,7036.655390254394,7036.655390254394,7036.655390254394,7036.655390254394,7036.655390254394
E49.5,M,8052.982301520757,8664.789566745065,9276.596831969371,9888.404097193677,8664.789566745065
E49.7,F,4938.8450675574395,4938.8450675574395,4938.8450675574395,4938.8450675574395,4938.8450675574395
E49.7,M,7483.076274999826,7483.076274999826,7483.076274999826,7483.076274999826,7483.076274999826
E49.8,F,8425.309224971541,8425.309224971541,8425.309224971541,8425.309224971541,8425.309224971541
E50.0,M,7760.149121892557,7760.149121892557,7760.149121892557,7760.149121892557,7760.149121892557
E50.1,F,7137.926759581847,7137.926759581847,7137.926759581847,7137.926759581847,7137.926759581847
E50.1,M,6890.759640698925,6890.759640698925,6890.759640698925,6890.759640698925,6890.759640698925
E50.2,M,10878.601618313181,10878.601618313181,10878.601618313181,10878.601618313181,10878.601618313181
E50.3,M,8319.44906028239,8319.44906028239,8319.44906028239,8319.44906028239,8319.44906028239
E50.4,F,7090.985667091873,7090.985667091873,7090.985667091873,7090.985667091873,7090.985667091873
E50.5,M,7599.077491263224,7958.742678604672,8318.40786594612,8678.073053287568,7958.742678604672
E50.7,F,8778.659957397642,8778.659957397642,8778.659957397642,8778.659957397642,8778.659957397642
E50.7,M,7723.269807707936,8885.273150744108,10047.276493780279,11209.279836816451,8885.273150744108
E50.8,M,8410.888355318355,8410.888355318355,8410.888355318355,8410.888355318355,8410.888355318355
E50.9,M,6449.006731484229,6449.006731484229,6449.006731484229,6449.006731484229,6449.006731484229
E51.1,M,6478.428469717212,6478.428469717212,6478.428469717212,6478.428469717212,6478.428469717212
E51.2,F,7946.787869126329,8010.15169734606,9118.431633805014,10226.711570263968,8706.762436172208
E51.2,M,7421.753679567435,7652.699197701444,7883.644715835452,8114.590233969461,7652.699197701444
E51.3,F,6094.540659492435,6094.540659492435,6094.540659492435,6094.540659492435,6094.540659492435
E51.4,F,7236.910351911579,7236.910351911579,7236.910351911579,7236.910351911579,7236.910351911579
E51.4,M,7265.640340225536,7265.640340225536,7265.640340225536,7265.640340225536,7265.640340225536
E51.5,F,6884.254920573745,6884.254920573745,6884.254920573745,6884.254920573745,6884.254920573745
E51.6,M,7012.68936444767,7012.68936444767,7012.68936444767,7012.68936444767,7012.68936444767
E51.8,M,8868.615093773898,8868.615093773898,8868.615093773898,8868.615093773898,8868.615093773898
E52.0,M,7676.713586440928,7676.713586440928,7676.713586440928,7676.713586440928,7676.713586440928
E52.1,F,8155.975027401033,8239.656564702487,8323.338102003941,8407.019639305396,8239.656564702487
E52.1,M,8639.64723530811,8639.64723530811,8639.64723530811,8639.64723530811,8639.64723530811
E52.2,F,7792.793208516352,7792.793208516352,7792.793208516352,7792.793208516352,7792.793208516352
E52.6,M,6056.522391026558,6056.522391026558,6056.522391026558,6056.522391026558,6056.522391026558
E52.8,F,8753.983618114955,8753.983618114955,8753.983618114955,8753.983618114955,8753.983618114955
E52.9,F,9976.82799504849,9976.82799504849,9976.82799504849,9976.82799504849,9976.82799504849
E52.9,M,7353.634727242326,7353.634727242326,7353.634727242326,7353.634727242326,7353.634727242326
E53.0,F,6128.027368045008,6227.4173717942995,6326.807375543592,6426.197379292883,6227.4173717942995
E53.0,M,8237.219316544337,8237.219316544337,8237.219316544337,8237.219316544337,8237.219316544337
E53.1,F,9520.57885818453,9520.57885818453,9520.57885818453,9520.57885818453,9520.57885818453
E53.3,F,9099.065908981196,9099.065908981196,9099.065908981196,9099.065908981196,9099.065908981196
E53.4,M,7201.184011977863,7201.184011977863,7201.184011977863,7201.184011977863,7201.184011977863
E53.5,F,7090.686488980671,7090.686488980671,7090.686488980671,7090.686488980671,7090.686488980671
E53.5,M,7055.464774369486,7055.464774369486,7055.464774369486,7055.464774369486,7055.464774369486
E53.6,F,6639.954488007872,6639.954488007872,6639.954488007872,6639.954488007872,6639.954488007872
E53.6,M,6348.448052677761,6348.448052677761,6348.448052677761,6348.448052677761,6348.448052677761
E54.0,F,9514.21437929432,9514.21437929432,9514.21437929432,9514.21437929432,9514.21437929432
E54.0,M,6497.075702471136,6497.075702471136,6497.075702471136,6497.075702471136,6497.075702471136
E54.1,M,6120.299351486727,6120.299351486727,6120.299351486727,6120.299351486727,6120.299351486727
E54.3,F,6725.554871396742,7252.455363790841,7779.355856184941,8306.256348579042,7252.455363790841
E54.3,M,7547.370878798163,7685.796117067147,7824.221355336131,7962.646593605115,7685.796117067147
E54.5,F,6810.459171535453,6810.459171535453,6810.459171535453,6810.459171535453,6810.459171535453
E54.5,M,6352.603289095542,6564.39046010506,6776.177631114578,6987.9648021240955,6564.39046010506
E54.7,F,7987.34302031122,7987.34302031122,7987.34302031122,7987.34302031122,7987.34302031122
E54.7,M,6645.8298526277595,6645.8298526277595,6645.8298526277595,6645.8298526277595,6645.8298526277595
E54.8,M,7995.525048828316,7995.525048828316,7995.525048828316,7995.525048828316,7995.525048828316
E55.2,F,6966.535606720651,6996.380836505477,7026.226066290303,7056.071296075128,6996.380836505477
E55.2,M,9024.869383441019,9024.869383441019,9024.869383441019,9024.869383441019,9024.869383441019
E55.3,M,8085.3953540457,8085.3953540457,8085.3953540457,8085.3953540457,8085.3953540457
E55.4,F,6738.213004683412,6738.213004683412,6738.213004683412,6738.213004683412,6738.213004683412
E55.5,F,7308.664354427232,7308.664354427232,7308.664354427232,7308.664354427232,7308.664354427232
E55.5,M,8826.687051535584,8826.687051535584,8826.687051535584,8826.687051535584,8826.687051535584
E55.7,M,6719.029141602213,6719.029141602213,6719.029141602213,6719.029141602213,6719.029141602213
E55.8,F,6929.2361748909625,7032.551202485225,7135.866230079489,7239.181257673751,7032.551202485225
E56.1,F,7225.675395200975,7513.713306452812,7801.751217704648,8089.789128956485,7513.713306452812
E56.1,M,6377.454361697462,6411.17490619699,6444.895450696518,6478.615995196045,6411.17490619699
E56.2,M,9443.081100234802,9443.081100234802,9443.081100234802,9443.081100234802,9443.081100234802
E56.3,M,6735.409497402113,6735.409497402113,6735.409497402113,6735.409497402113,6735.409497402113
E56.4,M,5724.831660208258,5724.831660208258,5724.831660208258,5724.831660208258,5724.831660208258
E56.5,F,7115.367406452106,7115.367406452106,7115.367406452106,7115.367406452106,7115.367406452106
E56.5,M,8161.415187187763,8161.415187187763,8161.415187187763,8161.415187187763,8161.415187187763
E56.7,F,7321.684070114659,7321.684070114659,7321.684070114659,7321.684070114659,7321.684070114659
E56.7,M,6728.169593380224,6728.169593380224,6728.169593380224,6728.169593380224,6728.169593380224
E56.8,F,8462.335411605967,8462.335411605967,8462.335411605967,8462.335411605967,8462.335411605967
E56.9,F,7391.138433735557,7814.450239140233,8237.76204454491,8661.073849949586,7814.450239140233
E56.9,M,8283.220771833192,8283.220771833192,8283.220771833192,8283.220771833192,8283.220771833192
E57.0,M,6327.428510469341,6327.428510469341,6327.428510469341,6327.428510469341,6327.428510469341
E57.2,F,6379.186195456792,6379.186195456792,6379.186195456792,6379.186195456792,6379.186195456792
E57.2,M,7559.147062295741,7559.147062295741,7559.147062295741,7559.147062295741,7559.147062295741
E57.4,F,9501.668800960768,9501.668800960768,9501.668800960768,9501.668800960768,9501.668800960768
E57.5,F,7531.238801180494,7531.238801180494,7531.238801180494,7531.238801180494,7531.238801180494
E57.5,M,9515.485990245435,9515.485990245435,9515.485990245435,9515.485990245435,9515.485990245435
E57.6,M,7468.001730889684,7468.001730889684,7468.001730889684,7468.001730889684,7468.001730889684
E57.7,M,6922.995543314268,6922.995543314268,6922.995543314268,6922.995543314268,6922.995543314268
E57.8,F,6818.001623823893,7361.607127329771,7905.212630835649,8448.818134341527,7361.607127329771
E57.9,M,6692.229277741748,7533.368322711624,8374.5073676815,9215.646412651378,7533.368322711624
E58.1,M,6665.979029814942,6689.605477512509,6713.231925210077,6736.858372907644,6689.605477512509
E58.2,M,9360.1007316853,9360.1007316853,9360.1007316853,9360.1007316853,9360.1007316853
E58.3,F,7748.80661660625,8463.8834889942,9178.960361382153,9894.037233770105,8463.8834889942
E58.3,M,8039.992743459185,8618.74558929427,9811.641423776542,11004.537258258813,9028.174248392394
E58.4,F,8108.362889403028,8108.362889403028,8108.362889403028,8108.362889403028,8108.362889403028
E58.4,M,8127.453671490728,8133.4810279717085,8139.508384452689,8145.535740933668,8133.4810279717085
E58.5,F,8133.552046311222,8133.552046311222,8133.552046311222,8133.552046311222,8133.552046311222
E58.6,F,8534.069777039167,8534.069777039167,8534.069777039167,8534.069777039167,8534.069777039167
E58.6,M,10258.810784400495,10258.810784400495,10258.810784400495,10258.810784400495,10258.810784400495
E58.7,F,9235.752954506946,9235.752954506946,9235.752954506946,9235.752954506946,9235.752954506946
